county_name,county_fips,income,rank
"Sioux County",38085,"41,201","2,979"
"Eddy County",38027,"50,375","2,518"
"Rolette County",38079,"53,806","2,246"
"Grant County",38037,"57,069","1,966"
"Kidder County",38043,"57,240","1,948"
"Adams County",38001,"57,950","1,870"
"Stutsman County",38093,"59,167","1,739"
"Pierce County",38069,"59,583","1,699"
"Wells County",38103,"59,732","1,681"
"Logan County",38047,"59,750","1,677"
"Dickey County",38021,"60,250","1,627"
"Cavalier County",38019,"61,174","1,550"
"Towner County",38095,"61,250","1,535"
"Ramsey County",38071,"61,490","1,510"
"Nelson County",38063,"62,219","1,448"
"Benson County",38005,"63,220","1,349"
"Emmons County",38029,"63,750","1,311"
"Pembina County",38067,"64,243","1,265"
"McIntosh County",38051,"64,375","1,255"
"Barnes County",38003,"64,447","1,248"
"Grand Forks County",38035,"64,698","1,233"
"Griggs County",38039,"66,688","1,066"
"Hettinger County",38041,"66,797","1,057"
"Richland County",38077,"67,089","1,033"
"Walsh County",38099,"68,082","961"
"Sheridan County",38083,"68,684","920"
"Oliver County",38065,"69,722","858"
"LaMoure County",38045,"70,227","820"
"Slope County",38087,"70,625","782"
"Ransom County",38073,"71,462","735"
"Cass County",38017,"73,249","648"
"Billings County",38007,"74,000","615"
"Sargent County",38081,"75,648","552"
"Renville County",38075,"77,067","498"
"McHenry County",38049,"78,071","462"
"Ward County",38101,"78,143","460"
"Foster County",38031,"78,426","451"
"Stark County",38089,"78,734","448"
"Morton County",38059,"79,555","417"
"Bowman County",38011,"79,709","411"
"Bottineau County",38009,"80,113","398"
"McLean County",38055,"80,556","385"
"Traill County",38097,"81,157","370"
"Mountrail County",38061,"81,886","357"
"Burleigh County",38015,"82,141","346"
"Mercer County",38057,"82,155","345"
"McKenzie County",38053,"83,813","303"
"Golden Valley County",38033,"84,750","278"
"Steele County",38091,"85,750","266"
"Williams County",38105,"86,139","259"
"Dunn County",38025,"91,758","195"
"Burke County",38013,"94,583","163"
"Divide County",38023,"95,938","146"
